symbol,current_price,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,annualized_return_pct,volatility_pct,rsi_current,relative_strength_rating,value_signal,value_score,value_reasons,pe_estimate,roe_estimate,canslim_signal,canslim_score,canslim_reasons,technical_signal,technical_score,technical_reasons,final_signal,total_score,confidence_pct,market_direction,analysis_date
CTR,95.06,95.06,90.05,88.92,-0.17,5.56,6.91,9.6425,39.6113,61.99,52.3,HOLD,-1,ROE < 10%: Yếu,20.17875,6.74975,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,2,Giá > MA50 > MA200: Xu hướng tăng mạnh,HOLD,0.0,0.0,UPTREND,2026-01-27 20:31:46
PVD,28.97,28.97,27.25,26.76,-5.4,6.31,8.28,11.4087,44.3083,40.0,67.3,HOLD,-1,ROE < 10%: Yếu,19.295650000000002,7.986089999999999,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,2,RSI trung tính: Ổn định; Giá < SMA20 -5%: Yếu; Giá > MA50 > MA200: Xu hướng tăng mạnh,HOLD,0.0,0.0,UPTREND,2026-01-27 20:31:46
MSN,78.45,78.45,77.67,78.05,-1.46,1.0,0.51,0.7581,35.3794,51.22,11.6,HOLD,-1,ROE < 10%: Yếu,24.62095,0.53067,HOLD,2,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,2,RSI trung tính: Ổn định; Giá > MA50: Tích cực,HOLD,0.0,0.0,UPTREND,2026-01-27 20:31:46
AAA,7.92,7.92,8.14,8.37,-1.39,-2.7,-5.42,-8.5602,38.9291,55.3,1.0,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,29.2801,5.99214,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,-1,RSI trung tính: Ổn định; Giá < MA50 < MA200: Xu hướng giảm,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
HHV,12.8,12.8,13.38,13.76,-3.87,-4.33,-6.97,-11.1819,41.3061,46.15,1.0,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,30.59095,7.82733,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,-1,RSI trung tính: Ổn định; Giá < MA50 < MA200: Xu hướng giảm,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
IJC,10.88,10.88,11.35,11.21,-2.09,-4.14,-2.92,-4.4861,43.932,52.73,5.2,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,27.24305,3.14027,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
DXG,16.22,16.22,17.48,15.72,-9.67,-7.21,3.2,4.6335,50.756,29.17,19.9,SELL,-2,ROE < 10%: Yếu; Volatility cao: Rủi ro,22.68325,3.2434499999999997,HOLD,2,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,RSI < 30: Quá bán; Giá < SMA20 -5%: Yếu,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
HSG,16.16,16.16,16.34,16.3,-1.61,-1.1,-0.88,-1.3188,45.4388,55.81,8.6,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,25.6594,0.9231599999999999,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
EVF,11.34,11.34,11.62,11.62,-0.37,-2.41,-2.41,-3.6791,41.8595,56.06,6.1,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,26.83955,2.57537,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
VRE,33.29,33.29,32.73,34.1,-6.88,1.71,-2.38,-3.6354,38.1506,23.99,6.1,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,26.8177,2.54478,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,2,RSI < 30: Quá bán; Giá < SMA20 -5%: Yếu; Giá > MA50: Tích cực,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
DSE,23.69,23.69,23.39,23.73,5.53,1.28,-0.18,-0.2625,35.9647,70.25,9.7,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,25.13125,0.18375,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,0,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh; Giá > MA50: Tích cực,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
VCG,22.72,22.72,23.47,23.36,-6.45,-3.2,-2.73,-4.186,41.1485,43.08,5.5,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,27.093,2.9301999999999997,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,0,RSI trung tính: Ổn định; Giá < SMA20 -5%: Yếu,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
DIG,16.6,16.6,18.41,16.91,-6.31,-9.83,-1.8,-2.7429,55.4459,36.94,7.1,SELL,-3,P/E > 25: Đắt; ROE < 10%: Yếu; Volatility cao: Rủi ro,26.37145,1.92003,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,-1,Giá < SMA20 -5%: Yếu,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
PDR,18.21,18.21,20.11,19.22,-4.7,-9.45,-5.23,-8.2442,42.6357,38.18,1.2,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,29.1221,5.7709399999999995,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,0,Tín hiệu kỹ thuật trung tính,SELL,-2.0,50.0,UPTREND,2026-01-27 20:31:46
