time,VNINDEX,ACB,BCM,BID,BVH,CTG,FPT,GAS,GVR,HDB,HPG,LPB,MBB,MSN,MWG,PLX,SAB,SHB,SSB,SSI,STB,TCB,TPB,VCB,VHM,VIB,VIC,VJC,VNM,VPB,VRE
2021-02-08,1083.18,10.3177,52.9393,23.0169,49.6797,15.8058,30.8183,51.3581,22.0298,7.6415,17.2394,6.6074,7.9908,70.0956,56.9256,44.7131,67.4542,0.0,0.0,12.399,17.4,16.5336,9.7021,40.9633,69.7808,9.7672,44.8945,124.6,80.0974,11.7493,30.9
2021-02-09,1114.93,10.7116,53.9811,23.4187,51.8434,16.4325,32.2447,52.8534,22.1218,7.8533,17.6188,6.8642,8.275,72.6341,57.3686,45.573,69.8577,0.0,0.0,12.8649,18.15,17.006,9.9428,42.3128,71.3282,10.104,47.2059,129.0,82.1512,12.5652,31.55
2021-02-17,1155.78,11.0305,55.4016,24.1649,53.5744,17.0823,33.6711,56.4939,23.6395,8.277,18.3143,6.9342,8.626,75.3363,61.1341,47.8946,70.3229,0.0,0.0,13.5943,18.75,18.1398,10.2575,43.5317,74.423,10.5952,48.006,131.0,82.6836,13.43,33.75
2021-02-18,1174.38,10.9367,56.6328,24.911,53.5744,17.0823,33.8007,58.5743,25.2492,8.3096,18.4829,6.8408,8.7598,77.8748,61.7986,48.2385,74.626,0.0,0.0,13.493,18.6,18.376,10.3131,44.4023,76.0441,10.511,48.895,131.8,82.9118,13.479,34.85
2021-02-19,1173.5,11.6683,57.4851,25.3128,53.2282,17.1752,33.1091,57.7941,25.8471,8.3259,18.3143,6.8642,8.9771,77.7111,60.9569,48.3245,74.3159,0.0,0.0,13.4322,18.7,18.2815,10.2575,44.0976,75.9704,10.5531,48.4505,131.8,82.1512,13.2505,34.5
2021-02-22,1175.04,11.8559,57.7692,25.1119,52.882,17.1752,33.1956,57.3391,25.7091,8.4073,18.2932,6.8642,8.9269,77.4654,60.6911,49.1844,73.6569,0.0,0.0,13.3107,18.6,18.2342,10.3316,43.7929,77.9599,10.5812,48.7617,131.6,81.7708,13.3648,34.15
2021-02-23,1177.64,11.8934,57.7692,25.2554,52.3627,17.1984,32.6337,58.1192,27.5028,8.4562,18.251,6.8175,9.161,75.9096,60.3367,48.8404,72.1062,0.0,0.0,13.6146,18.8,18.8011,10.3501,43.5317,77.5915,10.4408,48.895,134.0,81.3905,13.2179,34.4
2021-02-24,1162.01,11.7058,55.8752,24.7101,51.6703,17.4073,32.5905,57.2741,26.491,8.2933,18.3775,6.6774,9.0272,74.5175,59.2735,49.2704,71.8348,0.0,0.0,13.5538,18.35,18.4704,10.1464,42.7046,75.7494,10.497,48.0949,131.9,80.4777,12.9568,33.7
2021-02-25,1165.43,12.1561,55.4016,24.6527,51.5838,17.3144,32.9363,57.9892,26.583,8.3096,18.6093,6.8175,9.1275,73.371,60.1152,50.2162,72.6877,0.0,0.0,13.5538,18.5,18.4704,10.1279,42.7481,75.7494,10.7917,48.4061,135.0,79.5649,12.9242,33.75
2021-02-26,1168.47,12.3999,54.4546,25.0258,51.151,17.2912,32.9363,58.0542,26.537,8.1955,19.2205,6.8642,9.2445,73.9443,59.8051,50.0443,72.8815,0.0,0.0,13.4525,18.35,18.5413,10.202,42.7481,74.8651,11.1425,48.4505,135.1,79.7171,13.0547,33.2
2021-03-01,1186.17,12.475,54.4546,25.3128,53.4879,17.6858,33.6711,59.7445,27.1348,8.4073,19.4734,7.3311,9.4786,74.7631,59.7165,50.7322,72.804,0.0,0.0,14.1818,19.1,18.9901,10.3686,43.1835,75.8967,11.9143,48.2283,136.2,80.3256,13.3158,34.25
2021-03-02,1186.61,12.3812,54.8334,25.2841,53.4879,17.6394,33.6711,59.1594,27.5028,8.7006,19.6841,7.5179,9.395,74.4356,60.1595,50.3882,72.4532,0.0,0.0,14.2021,19.15,19.0373,11.0167,43.227,75.7494,12.2371,48.0949,137.7,79.7931,13.2995,34.7
2021-03-03,1186.95,12.475,57.7692,25.1406,53.0551,17.9179,33.5846,59.1594,27.2268,8.7821,19.7263,7.4479,9.3616,74.108,60.3367,50.3022,71.4371,0.0,0.0,14.121,19.0,19.0609,11.0167,42.8352,74.7914,12.1248,47.5171,137.2,79.4889,13.5769,35.5
2021-03-04,1168.52,12.1561,55.4016,24.5379,51.93,17.7786,32.8066,59.0944,26.445,8.5377,19.3469,7.2377,9.0774,72.3884,58.8305,49.7003,69.5613,0.0,0.0,13.5538,18.35,18.4468,10.6093,42.3564,73.6861,11.788,47.5171,136.8,78.6521,13.5443,34.55
2021-03-05,1168.69,12.1748,55.1175,24.337,51.0645,17.6394,32.8066,60.1345,26.7209,8.4236,19.3891,7.3545,9.1442,73.0435,58.5647,49.8723,68.9751,0.0,0.0,13.5538,18.7,18.5177,10.5538,41.9646,72.5072,12.1529,47.2504,136.8,78.3479,13.6422,34.55
2021-03-08,1168.27,11.931,54.9281,24.3657,51.151,17.593,32.7634,61.7598,27.0429,8.4562,19.5155,7.3311,9.2278,71.5695,57.9445,50.2162,68.389,0.0,0.0,13.5943,18.6,18.3523,10.5538,41.4422,71.6229,12.1108,47.117,136.0,77.7393,13.4953,34.45
2021-03-09,1161.97,12.0248,54.8334,24.0214,50.9779,17.268,32.4176,60.9146,26.399,8.4562,19.3259,7.3311,9.1275,70.9963,56.7484,48.6685,67.6074,0.0,0.0,13.3917,18.55,18.3996,10.5168,41.3551,72.3598,12.0687,46.3614,134.9,76.4462,13.6422,34.1
2021-03-10,1170.08,12.2874,55.7805,24.1075,51.5838,17.4305,32.9795,59.8095,26.6749,8.5051,19.2205,7.4479,9.3449,71.242,57.8116,47.9806,67.7246,0.0,0.0,13.412,18.7,18.5649,10.5353,41.5728,73.6125,12.0547,47.117,135.5,76.9026,13.7075,34.15
2021-03-11,1181.73,12.3812,55.8752,24.8536,52.3627,17.7322,33.1524,60.2645,27.1348,8.6028,19.5577,7.4946,9.4452,71.4876,58.6976,47.8086,68.7797,0.0,0.0,13.7564,19.3,18.9664,10.5908,41.921,73.6861,12.1389,47.0726,136.1,78.1957,14.2786,34.35
2021-03-12,1181.56,12.3624,54.644,24.8823,52.3627,17.6162,33.0659,59.2244,28.4226,8.6843,19.5788,7.7047,9.4452,71.4876,58.0774,47.8086,69.5613,0.0,0.0,13.574,19.2,18.9192,10.5908,41.7034,73.6125,12.195,47.0726,135.0,77.7393,14.5234,34.65
2021-03-15,1184.56,12.5688,55.2122,24.6814,52.0165,17.6394,33.0659,59.2244,27.8707,8.6843,19.5998,7.6346,9.6625,72.4703,58.7862,49.0984,69.1705,0.0,0.0,13.4525,18.9,18.9428,10.6278,41.921,73.5388,12.2652,47.117,135.0,77.7393,14.6213,34.45
2021-03-16,1179.9,12.55,54.2652,24.337,51.5838,17.5001,35.011,58.7043,27.0889,8.7332,19.4312,7.5413,9.5789,72.0608,59.0077,49.7003,70.5774,0.0,0.0,13.2499,18.9,18.8247,10.5538,41.6598,73.3177,12.209,46.8503,134.6,76.8266,14.4744,34.8
2021-03-17,1186.09,12.5688,54.4546,24.8536,51.5838,18.3589,34.9245,60.3296,27.3188,8.9613,19.5155,7.588,9.6959,72.0608,58.8305,49.7003,70.0303,0.0,0.0,13.2094,19.6,19.0373,10.6278,41.6163,73.1703,12.9107,46.5392,133.5,76.4462,14.556,34.85
