(0)STT,(1)Cổ phiếu,(2)Sàn,(3)Giáhiện tại,(4)GT nội tạiGiá mục tiêu,(5)% Biên độan toàn,(6)Vùng muathấp,(7)Vùng muacao,(8)% TSLNCP5 năm,(9)% ĐLCnăm,(10)Chỉ bán rakhi giá đạt mức,(11)Vốn hóa(đv: M),(12)% TTLNDN3 năm,(13)% TTLNDN5 năm,(14)% TB ROE3 năm,(15)ROETTM,(16)% TL Nợ/ Tài sản,(17)% TSLNCP1 năm,(18)% TSLNCP3 năm,(19)SL Qũynắm giữ,(20)GTCP Quỹnắm giữ (đv: M),(21)% TL hoànthành DT,(22)% TL hoànthành LNST,(23)% TL DT TTM/ DT 2025,(24)% TL LN TTM/ LN 2025,(25)% TL LN TTM/ LN TTM cách 1 năm,(26)NgàyBC 1,(27)NguồnBC 1,(28)Giá mụctiêu ĐC 1,(28b)Giá MTĐC 1sau cổ tức,(29)NgàyBC 2,(30)NguồnBC 2,(31)Giá mụctiêu ĐC 2,(31b)Giá MTĐC 2sau cổ tức,(32)NgàyBC 3,(33)NguồnBC 3,(34)Giá mụctiêu ĐC 3,(34b)Giá MTĐC 3sau cổ tức,(35)TB củagiá MT,(36)GT nội tạiWiki,(37)Xếp hạng,(38)PE TTMCP,(39)PE TB5 năm CP,(40)PE TTMngành
15,FRT,HOSE,"143,500","171,500",19.45 %,"157,500","185,000",60.49 %,42.66 %,"257,000","23,859,280",35.22 %,149.32 %,10.31 %,27.12 %,78.33 %,-4.04 %,40.93 %,15,"535,598",,,100.00 %,100.00 %,100.00 %,04/03/2026,ABS,"184,200","184,200",02/03/2026,SSV,"188,600","188,600",31/12/2025,BSC,"175,700","175,700","182,833","160,000",1.0,32.03,21.65,20.19
17,GMD,HOSE,"73,000","87,500",19.66 %,"80,500","94,500",23.89 %,34.68 %,"131,000","30,963,545",24.19 %,38.25 %,20.19 %,15.54 %,24.86 %,21.98 %,22.05 %,33,"1,781,300",,,100.00 %,100.00 %,100.00 %,26/02/2026,DSC,"83,200","83,200",26/02/2026,Vietcap,"93,900","93,900",25/02/2026,SSI,"95,000","95,000","90,700","84,000",1.0,15.51,16.14,13.84
20,HDG,HOSE,"25,900","33,000",27.86 %,"30,500","36,000",5.60 %,42.17 %,"49,500","9,600,541",-11.49 %,-5.52 %,10.23 %,11.99 %,43.14 %,3.06 %,8.98 %,11,"165,433",,,100.00 %,100.00 %,100.00 %,04/03/2026,SSV,"34,450","34,450",23/02/2026,SSI,"31,300","31,300",02/02/2026,BVSC,"36,950","36,950","34,233","32,000",0.5,14.31,14.69,59.89
21,HPG,HOSE,"26,550","34,500",29.69 %,"31,500","37,000",5.16 %,33.43 %,"51,500","194,573,059",22.48 %,2.81 %,10.17 %,12.62 %,49.12 %,8.47 %,16.43 %,37,"2,258,567",,,100.00 %,100.00 %,100.00 %,25/02/2026,MBS,"35,600","35,600",24/02/2026,BVSC,"36,000","36,000",24/02/2026,SSV,"33,000","33,000","34,867","34,000",1.0,13.12,13.89,15.82
23,IMP,HOSE,"53,700","52,000",-3.54 %,"47,500","56,000",16.13 %,29.93 %,"77,500","8,270,281",16.02 %,10.73 %,15.22 %,15.55 %,17.11 %,16.36 %,37.49 %,1,"1,355",,,100.00 %,100.00 %,100.00 %,06/02/2026,SSI,"56,000","56,000",30/01/2026,ABS,"52,800","52,800",21/11/2025,DSC,"52,000","52,000","53,600","50,000",1.0,23.16,20.87,17.00
25,MBB,HOSE,"25,800","34,000",31.67 %,"31,500","36,500",21.59 %,30.46 %,"51,000","200,166,748",14.68 %,26.05 %,22.16 %,21.14 %,91.21 %,35.13 %,37.11 %,42,"3,573,721",,,,100.00 %,100.00 %,02/03/2026,ABS,"32,200","32,200",23/02/2026,VCBS,"37,230","37,230",13/02/2026,MAS,"32,400","32,400","33,943","34,000",2.0,7.61,6.25,9.56
29,MWG,HOSE,"79,000","109,500",38.69 %,"101,000","118,500",12.07 %,34.61 %,"164,500","113,068,612",19.93 %,12.54 %,12.77 %,23.08 %,60.48 %,26.19 %,25.72 %,39,"6,219,211",,,100.00 %,100.00 %,100.00 %,26/02/2026,ACBS,"107,100","107,100",24/02/2026,DSC,"119,000","119,000",23/02/2026,BVSC,"116,300","116,300","114,133","105,000",2.0,18.45,90.17,20.19
32,PNJ,HOSE,"109,800","128,500",16.88 %,"118,000","138,500",13.44 %,30.14 %,"192,500","36,332,380",16.04 %,21.48 %,21.58 %,23.07 %,34.18 %,16.42 %,12.71 %,33,"3,149,199",,,100.00 %,100.00 %,100.00 %,02/03/2026,BSC,"154,000","154,000",11/02/2026,SSI,"145,000","145,000",10/02/2026,DSC,"126,000","126,000","141,667","115,000",2.0,11.70,15.03,9.39
33,PTB,HOSE,"50,600","58,500",15.25 %,"53,500","63,000",4.17 %,31.68 %,"87,500","3,855,652",1.09 %,6.48 %,12.87 %,16.27 %,47.67 %,-4.12 %,14.20 %,2,"10,100",,,100.00 %,100.00 %,100.00 %,09/02/2026,BSC,"65,200","65,200",11/06/2025,DSC,"52,506","52,506",22/04/2025,MBS,"52,210","52,210","56,639","60,000",1.0,7.55,10.07,11.46
36,QNS,UPCOM,"47,200","53,000",12.00 %,"48,500","57,000",10.36 %,22.43 %,"79,500","14,638,125",14.20 %,12.72 %,23.79 %,18.56 %,25.81 %,1.74 %,15.93 %,3,"29,702",,,100.00 %,100.00 %,100.00 %,03/03/2026,MAS,"56,700","56,700",24/11/2025,FPTS,"48,500","48,500",03/11/2025,SSV,"56,000","56,000","53,733","52,000",1.0,7.65,9.27,19.25
37,REE,HOSE,"60,000","72,000",20.03 %,"66,500","78,000",13.68 %,31.72 %,"108,000","31,253,675",-3.60 %,12.94 %,12.79 %,13.33 %,38.13 %,-8.02 %,10.55 %,24,"884,198",,,100.00 %,100.00 %,100.00 %,04/03/2026,ABS,"72,900","72,900",23/02/2026,Vietcap,"74,700","74,700",05/12/2025,KBSV,"65,500","65,500","71,033","73,000",1.0,13.07,12.14,59.89
38,SSI,HOSE,"29,850","36,500",22.75 %,"33,500","39,500",15.72 %,41.75 %,"55,000","72,989,164",34.24 %,26.74 %,11.79 %,13.95 %,65.91 %,22.65 %,30.41 %,25,"859,431",,,,100.00 %,100.00 %,03/11/2025,SBBS,"43,250","43,250",06/08/2025,DSC,"37,300","37,300",05/08/2025,Vietcap,"37,300","37,300","39,283","34,000",1.0,18.35,18.44,16.47
39,TCB,HOSE,"30,050","37,000",22.63 %,"34,000","40,000",8.94 %,32.41 %,"55,500","207,272,532",8.29 %,15.58 %,15.42 %,15.85 %,84.95 %,8.21 %,30.60 %,38,"3,378,783",,,,100.00 %,100.00 %,04/02/2026,ABS,"43,900","43,900",28/01/2026,BSC,"43,500","43,500",26/01/2026,SSV,"43,700","43,700","43,700","30,000",1.5,9.78,7.67,9.56
40,TLG,HOSE,"52,300","58,500",12.09 %,"54,000","63,500",14.12 %,33.18 %,"88,000","4,865,028",3.91 %,13.40 %,18.92 %,18.46 %,29.03 %,-7.84 %,10.07 %,5,"114,255",,,100.00 %,100.00 %,100.00 %,13/10/2025,PHS,"59,700","59,700",18/09/2025,Vietcap,"62,800","62,800",,,,,"61,250","56,000",1.0,10.63,11.37,16.81
41,TPB,HOSE,"16,100","18,000",13.21 %,"17,000","19,500",8.84 %,33.66 %,"27,500","43,552,536",5.63 %,16.02 %,16.22 %,17.65 %,90.90 %,8.20 %,11.19 %,21,"342,228",,,,100.00 %,100.00 %,23/09/2025,DSC,"22,600","22,600",14/07/2025,MAS,"17,300","17,300",12/05/2025,MBS,"16,966","16,966","18,955","17,500",0.5,6.43,8.20,9.56
42,VCB,HOSE,"59,400","77,000",29.40 %,"70,500","83,000",5.98 %,24.77 %,"115,500","478,780,183",5.57 %,13.76 %,19.11 %,16.61 %,90.68 %,-9.26 %,3.09 %,32,"1,580,330",,,,100.00 %,100.00 %,05/03/2026,KBSV,"75,500","75,500",25/02/2026,SSI,"84,900","84,900",12/02/2026,BSC,"75,800","75,800","78,733","75,000",1.0,13.66,14.40,9.56
43,VGC,HOSE,"43,700","63,000",43.96 %,"58,000","68,000",8.29 %,46.20 %,"94,500","19,189,380",-5.89 %,19.03 %,13.17 %,14.82 %,56.24 %,-10.33 %,11.54 %,4,"42,375",,,100.00 %,100.00 %,100.00 %,25/02/2026,KBSV,"65,700","65,700",06/02/2026,ELDIAN,"64,566","64,566",02/02/2026,MBS,"61,200","61,200","63,822","62,000",1.0,13.37,15.53,12.71
45,VHC,HOSE,"56,100","63,500",13.15 %,"58,500","68,500",12.82 %,39.70 %,"95,000","12,367,382",-10.34 %,15.07 %,14.02 %,15.29 %,25.59 %,-19.47 %,8.68 %,13,"308,668",,,100.00 %,100.00 %,100.00 %,04/03/2026,BVSC,"69,350","69,350",03/03/2026,ABS,"65,500","65,500",03/03/2026,BSC,"66,000","66,000","66,950","60,000",1.0,9.24,10.83,19.25
46,VIB,HOSE,"16,400","20,500",25.46 %,"19,000","22,000",5.23 %,31.62 %,"31,000","53,272,689",-4.89 %,9.43 %,19.58 %,16.41 %,91.57 %,-11.48 %,9.99 %,22,"342,705",,,,100.00 %,100.00 %,02/03/2026,MAS,"23,000","23,000",09/12/2025,ACBS,"20,200","20,200",25/11/2025,DSC,"21,300","21,300","21,500","19,651",1.0,8.29,7.69,9.56
