symbol,geom_mean_daily_return_pct,annualized_return_pct,daily_std_dev_pct,annual_std_dev_pct,rsi_current,sma_20_current,sma_50_current,volatility_annual_pct,price_vs_sma20_pct
HT1,-0.0013,-0.334,2.4306,38.4319,42.22,16.12,15.75,38.45,-6.93
VNM,-0.0162,-3.9759,1.4821,23.4348,62.14,65.68,63.82,23.44,3.08
ACB,0.0676,18.3948,1.71,27.0372,50.77,24.65,24.42,27.05,0.19
DBC,0.0365,9.5545,2.8143,44.4975,61.64,27.56,27.48,44.52,3.59
HAG,0.086,23.9848,3.0471,48.1792,45.57,17.37,17.72,48.2,-3.83
DCM,0.0982,27.8189,2.7269,43.1159,57.96,34.86,33.95,43.13,2.71
HHV,-0.049,-11.5351,2.6116,41.2933,37.25,12.75,13.36,41.31,-5.08
CMG,0.0665,18.0744,2.4019,37.9767,62.39,34.52,33.79,37.99,2.11
VCI,0.0695,18.9646,2.9176,46.132,70.2,34.98,34.37,46.15,5.76
CTD,0.0292,7.5771,2.737,43.2753,65.79,75.07,77.83,43.29,2.97
SBT,0.0229,5.8791,2.3024,36.4041,33.33,24.34,24.65,36.42,-1.18
VSC,0.0369,9.6713,2.5948,41.0268,46.89,21.08,21.35,41.04,-5.1
SZC,0.0222,5.7078,2.7697,43.7925,54.05,30.7,30.65,43.81,0.99
VIC,0.0954,26.9065,2.2439,35.4797,28.19,164.78,148.75,35.49,-8.37
SJS,0.1282,37.7492,2.4367,38.5281,15.15,58.26,58.47,38.54,-7.32
STB,0.0945,26.6448,2.4617,38.9222,77.07,57.9,53.2,38.94,6.92
CII,-0.0027,-0.6778,3.0936,48.9145,33.33,19.34,22.84,48.93,-10.82
KDC,0.0407,10.7149,1.1564,18.284,68.84,50.22,50.71,18.29,-0.44
PC1,0.0613,16.5467,2.7153,42.9334,36.42,23.76,22.75,42.95,-3.82
