symbol,current_price,annualized_return_pct,volatility_pct,rsi_current,price_vs_sma20_pct,relative_strength_rating,value_signal,value_score,value_reasons,pe_estimate,roe_estimate,canslim_signal,canslim_score,canslim_reasons,technical_signal,technical_score,technical_reasons,final_signal,total_score,confidence_pct,market_direction,analysis_date
VIC,92.48,2.1476,31.712,46.18,3.58,58.3,HOLD,-1,ROE < 10%: Yếu,15.0,1.7180800000000003,HOLD,2,Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
CII,14.73,-2.3786,45.5222,27.45,-2.26,40.9,HOLD,-1,ROE < 10%: Yếu,15.0,1.9028800000000001,HOLD,1,Return âm: Xấu; Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,2,RSI < 30: Quá bán,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
DXS,8.42,-15.6098,48.6895,66.99,11.01,1.0,HOLD,0,,15.0,12.48784,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
PLX,36.69,-0.7887,30.8521,58.44,1.65,47.0,HOLD,-1,ROE < 10%: Yếu,15.0,0.63096,HOLD,0,Return âm: Xấu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
HT1,11.59,1.3316,37.648,65.22,4.85,55.1,HOLD,-1,ROE < 10%: Yếu,15.0,1.06528,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
TCH,19.74,7.6345,45.9643,43.06,-2.2,79.4,HOLD,-1,ROE < 10%: Yếu,15.0,6.107600000000001,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
PDR,17.76,7.1948,41.4049,42.03,-0.31,77.7,HOLD,-1,ROE < 10%: Yếu,15.0,5.75584,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
SHB,13.14,-3.7363,34.344,45.16,-0.67,35.6,HOLD,-1,ROE < 10%: Yếu,15.0,2.98904,HOLD,0,Return âm: Xấu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
NT2,18.5,4.8678,32.21,67.35,4.86,68.7,HOLD,-1,ROE < 10%: Yếu,15.0,3.89424,HOLD,2,Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
HHV,12.31,-14.548,41.9536,41.94,1.18,1.0,HOLD,0,,15.0,11.6384,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
PPC,11.78,-4.329,25.6948,30.77,-1.15,33.4,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,15.0,3.4632,HOLD,0,Return âm: Xấu; Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
VRE,25.7,-2.2354,35.5123,27.62,-4.09,41.4,HOLD,-1,ROE < 10%: Yếu,15.0,1.78832,HOLD,1,Return âm: Xấu; Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,2,RSI < 30: Quá bán,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
BVB,13.02,5.0214,43.2379,45.83,-0.92,69.3,HOLD,-1,ROE < 10%: Yếu,15.0,4.01712,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
SAB,49.38,-6.5536,26.2291,59.3,1.85,24.8,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,15.0,5.24288,HOLD,-1,Return âm: Xấu; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
AAA,7.21,-6.6696,38.9495,37.78,-0.6,24.3,HOLD,-1,ROE < 10%: Yếu,15.0,5.33568,HOLD,0,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu; Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
VNM,55.8,-5.0827,22.4192,54.55,1.78,30.5,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,15.0,4.06616,HOLD,0,Return âm: Xấu; Thị trường tăng: Tốt,HOLD,2,RSI trung tính: Ổn định; Volatility thấp: Xu hướng ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
PAN,27.1,-1.7356,38.334,38.78,-0.73,43.3,HOLD,-1,ROE < 10%: Yếu,15.0,1.3884800000000002,HOLD,1,Return âm: Xấu; Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
VCS,47.77,1.3154,34.7019,49.82,-0.15,55.1,HOLD,-1,ROE < 10%: Yếu,15.0,1.05232,HOLD,2,Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
VCG,20.62,-3.0315,41.7038,61.23,4.51,38.3,HOLD,-1,ROE < 10%: Yếu,15.0,2.4252000000000002,HOLD,1,Return âm: Xấu; Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
SCS,63.64,6.0225,24.4055,59.63,2.29,73.2,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,15.0,4.8180000000000005,HOLD,2,Thị trường tăng: Tốt,HOLD,2,RSI trung tính: Ổn định; Volatility thấp: Xu hướng ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
POW,13.17,5.3539,36.4412,31.58,-1.31,70.6,HOLD,-1,ROE < 10%: Yếu,15.0,4.28312,HOLD,3,Volatility cao: Hoạt động mạnh; Thị trường tăng: Tốt,HOLD,0,,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
GAS,66.38,6.9992,30.2006,58.6,1.69,76.9,HOLD,-1,ROE < 10%: Yếu,15.0,5.599360000000001,HOLD,2,Thị trường tăng: Tốt,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,UPTREND,2025-06-26 13:30:40
